,query,direction,predicted theta,MAPE,Query sigma factor,predicted direction
66,"[24.0, 25.0, 38.0]",X,"[21.59504508972168, 52.78466033935547, 52.8334846496582]",0.07595891505479813,1.2,cubX
67,"[24.0, 26.0, 65.0]",X,"[31.754304885864258, 60.16765213012695, 60.19942092895508]",0.06351234018802643,1.2,cubX
68,"[24.0, 30.0, 45.0]",X,"[21.470813751220703, 52.80329132080078, 58.86190414428711]",0.04451815038919449,1.2,cubX
69,"[25.0, 34.0, 52.0]",X,"[20.0, 24.97317886352539, 47.065799713134766]",0.05219041556119919,1.2,cubX
70,"[25.0, 54.0, 66.0]",X,"[20.0, 44.14736557006836, 55.89517593383789]",0.061422158032655716,1.2,cubX
71,"[26.0, 26.0, 55.0]",X,"[20.0, 49.9091796875, 52.726566314697266]",0.04944857209920883,1.2,cubX
72,"[26.0, 32.0, 58.0]",X,"[20.0, 26.407928466796875, 50.85317611694336]",0.09072872251272202,1.2,cubY
73,"[26.0, 36.000003814697266, 44.0]",X,"[21.889476776123047, 44.258522033691406, 60.234928131103516]",0.047757234424352646,1.2,cubX
74,"[26.0, 45.0, 47.0]",X,"[22.650251388549805, 47.11107635498047, 48.210689544677734]",0.2751942276954651,1.2,cubX
75,"[27.0, 48.0, 58.0]",X,"[20.0, 29.535995483398438, 49.72819900512695]",0.1279960572719574,1.2,cubY
76,"[28.0, 32.0, 64.0]",X,"[20.0, 20.0, 44.60128402709961]",0.10627154260873795,1.2,cubY
77,"[28.0, 34.0, 45.0]",X,"[20.0, 42.4235725402832, 50.971561431884766]",0.3967735469341278,1.2,cubY
78,"[28.0, 39.0, 61.0]",X,"[37.67144775390625, 63.776817321777344, 63.902591705322266]",0.04020474851131439,1.2,cubX
79,"[28.0, 40.0, 45.0]",X,"[30.768047332763672, 56.930355072021484, 58.253902435302734]",0.05203920602798462,1.2,cubX
80,"[28.0, 40.0, 49.0]",X,"[20.0, 43.46687316894531, 49.39773178100586]",0.08002720773220062,1.2,cubX
81,"[29.0, 31.0, 32.0]",X,"[31.462627410888672, 39.92800521850586, 57.21149826049805]",0.04326723888516426,1.2,cubX
82,"[29.0, 55.0, 60.0]",X,"[20.0, 48.75874710083008, 54.781700134277344]",0.04660521447658539,1.2,cubX
83,"[30.0, 34.0, 60.0]",X,"[29.862512588500977, 61.09387969970703, 62.8499870300293]",0.04948810860514641,1.2,cubX
84,"[30.0, 36.000003814697266, 38.0]",X,"[23.31191062927246, 58.53306579589844, 58.990394592285156]",0.05700599402189255,1.2,cubX
85,"[30.0, 45.0, 65.0]",X,"[20.0, 44.31857681274414, 50.948482513427734]",0.06787560135126114,1.2,cubX
86,"[30.0, 52.0, 54.0]",X,"[0.0, 38.60477066040039, 68.35941314697266]",0.06376095116138458,1.2,colX
87,"[31.0, 34.0, 59.0]",X,"[34.71796417236328, 41.67953109741211, 59.63899612426758]",0.03824266046285629,1.2,cubX
88,"[32.0, 39.0, 70.0]",X,"[35.79475402832031, 42.16130828857422, 59.860328674316406]",0.03753776103258133,1.2,cubX
89,"[32.0, 41.0, 60.0]",X,"[20.0, 46.195465087890625, 58.653175354003906]",0.07367048412561417,1.2,cubX
90,"[32.0, 50.0, 69.0]",X,"[51.3201789855957, 56.430389404296875, 63.059776306152344]",0.035494137555360794,1.2,cubY
91,"[33.0, 35.0, 38.0]",X,"[37.52413558959961, 58.07600402832031, 58.23636245727539]",0.04098918288946152,1.2,cubX
92,"[34.0, 40.0, 65.0]",X,"[37.23831558227539, 62.08077621459961, 63.393306732177734]",0.04583706334233284,1.2,cubX
93,"[34.0, 41.0, 52.0]",X,"[20.0, 44.20309066772461, 60.61279296875]",0.0670858770608902,1.2,cubX
94,"[34.0, 47.0, 61.0]",X,"[35.51475524902344, 43.56589889526367, 58.917694091796875]",0.050201307982206345,1.2,cubX
95,"[35.0, 36.000003814697266, 40.0]",X,"[0.0, 35.0459098815918, 68.30350494384766]",0.05904308706521988,1.2,colX
96,"[35.0, 38.0, 57.0]",X,"[20.0, 59.02266311645508, 60.838741302490234]",0.11749633401632309,1.2,cubX
97,"[37.0, 41.0, 55.0]",X,"[38.1018180847168, 39.52409744262695, 58.03744888305664]",0.049948640167713165,1.2,cubX
98,"[40.0, 43.0, 53.0]",X,"[25.802867889404297, 60.924076080322266, 67.08366394042969]",0.03715979680418968,1.2,cubX
99,"[41.0, 43.0, 44.0]",X,"[20.0, 20.0, 59.50381851196289]",0.034155409783124924,1.2,cubX
100,"[48.0, 53.0, 58.0]",X,"[40.72469711303711, 43.28358840942383, 57.02497482299805]",0.06210026144981384,1.2,cubX
101,"[49.0, 50.0, 55.0]",X,"[40.96148681640625, 43.60991287231445, 62.92116928100586]",0.041636694222688675,1.2,cubX
102,"[52.0, 59.0, 69.0]",X,"[20.0, 28.08819007873535, 30.746191024780273]",0.03868851810693741,1.2,cubZ
103,"[54.0, 58.0, 66.0]",X,"[20.0, 48.58415985107422, 53.48945617675781]",0.052589524537324905,1.2,cubX
