,query,direction,predicted theta,MAPE,Query sigma factor,predicted direction
63,"[23.0, 41.0, 53.0]",Z,"[27.46291160583496, 47.44401931762695, 56.84978485107422]",0.044928066432476044,1.2,cubY
64,"[23.0, 49.0, 64.0]",Z,"[47.3766975402832, 48.593116760253906, 48.914615631103516]",0.03397874906659126,1.2,cubX
65,"[23.0, 59.0, 66.0]",Z,"[45.35859680175781, 47.094791412353516, 58.65301513671875]",0.041042353957891464,1.2,cubY
66,"[24.0, 25.0, 38.0]",Z,"[23.929737091064453, 46.962249755859375, 56.87284851074219]",0.05063372850418091,1.2,cubY
67,"[24.0, 26.0, 65.0]",Z,"[48.00529861450195, 53.02809143066406, 55.393775939941406]",0.03656914830207825,1.2,cubX
68,"[24.0, 30.0, 45.0]",Z,"[22.914335250854492, 37.62847900390625, 55.87651062011719]",0.030398264527320862,1.2,cubZ
69,"[25.0, 34.0, 52.0]",Z,"[31.870662689208984, 53.30915451049805, 65.67029571533203]",0.02686895988881588,1.2,cubY
70,"[25.0, 54.0, 66.0]",Z,"[31.716156005859375, 41.979366302490234, 67.9111099243164]",0.03550568222999573,1.2,cubX
71,"[26.0, 26.0, 55.0]",Z,"[50.30906295776367, 57.54375457763672, 61.68535232543945]",0.03820949047803879,1.2,cubX
72,"[26.0, 32.0, 58.0]",Z,"[46.99494171142578, 56.61304473876953, 60.6361198425293]",0.037315014749765396,1.2,cubX
73,"[26.0, 36.000003814697266, 44.0]",Z,"[42.41621017456055, 43.657379150390625, 46.052181243896484]",0.03253473713994026,1.2,cubX
74,"[26.0, 45.0, 47.0]",Z,"[45.87691116333008, 51.815921783447266, 63.24949264526367]",0.03632994741201401,1.2,cubY
75,"[27.0, 48.0, 58.0]",Z,"[52.25185775756836, 56.789798736572266, 58.11697769165039]",0.030329769477248192,1.2,cubY
76,"[28.0, 32.0, 64.0]",Z,"[51.92428970336914, 56.03116989135742, 63.915740966796875]",0.037668321281671524,1.2,cubY
77,"[28.0, 34.0, 45.0]",Z,"[38.463050842285156, 57.65940475463867, 60.631492614746094]",0.026545802131295204,1.2,cubZ
78,"[28.0, 39.0, 61.0]",Z,"[35.5149040222168, 48.093421936035156, 51.6076774597168]",0.05012313276529312,1.2,cubZ
79,"[28.0, 40.0, 45.0]",Z,"[46.90386962890625, 57.58893585205078, 59.95083236694336]",0.04715493693947792,1.2,cubY
80,"[28.0, 40.0, 49.0]",Z,"[43.96658706665039, 52.09817886352539, 57.61326217651367]",0.04663871228694916,1.2,cubX
81,"[29.0, 31.0, 32.0]",Z,"[20.0, 35.19479751586914, 50.296966552734375]",0.04906808212399483,1.2,cubX
82,"[29.0, 55.0, 60.0]",Z,"[47.29993438720703, 51.316307067871094, 65.63228607177734]",0.04666556417942047,1.2,cubY
83,"[30.0, 34.0, 60.0]",Z,"[55.604522705078125, 55.78976058959961, 66.43003845214844]",0.030045706778764725,1.2,cubZ
84,"[30.0, 36.000003814697266, 38.0]",Z,"[31.706560134887695, 47.25017547607422, 51.08684539794922]",0.07219207286834717,1.2,cubX
85,"[30.0, 45.0, 65.0]",Z,"[29.002534866333008, 55.23445510864258, 67.59837341308594]",0.0327310785651207,1.2,cubX
86,"[30.0, 52.0, 54.0]",Z,"[20.0, 50.223262786865234, 56.355445861816406]",0.03414134681224823,1.2,cubY
87,"[31.0, 34.0, 59.0]",Z,"[20.0, 37.57012176513672, 57.04153823852539]",0.03869874030351639,1.2,cubZ
88,"[32.0, 39.0, 70.0]",Z,"[29.917675018310547, 54.70355987548828, 64.26134490966797]",0.04683723300695419,1.2,cubX
89,"[32.0, 41.0, 60.0]",Z,"[34.051910400390625, 37.28758239746094, 52.95536422729492]",0.050434328615665436,1.2,cubX
90,"[32.0, 50.0, 69.0]",Z,"[52.49396514892578, 54.008968353271484, 64.5133056640625]",0.03252347186207771,1.2,cubY
91,"[33.0, 35.0, 38.0]",Z,"[48.565773010253906, 56.6296501159668, 58.54592514038086]",0.029279101639986038,1.2,cubY
